Gene ID	source_id	Gene Name or Symbol	sense - male gametocyte - unique only	sense - female gametocyte - unique only	sense - male gametocyte	sense - female gametocyte
PF3D7_0108600	PF3D7_0108600.1	N/A	10.45	103.44	10.45	103.44
PF3D7_0108700	PF3D7_0108700.1	PSOP24	102.23	118.41	103.63	120.49
PF3D7_0108800	PF3D7_0108800.1	N/A	36.95	19.94	37.05	19.94
PF3D7_0108900	PF3D7_0108900.1	N/A	253.66	33.08	253.66	33.08
PF3D7_0109000	PF3D7_0109000.1	PHIL1	995.83	534.77	995.93	534.84
PF3D7_0109100	PF3D7_0109100.1	CCp5	4.13	169.95	4.13	169.95
PF3D7_0109200	PF3D7_0109200.1	CFIM25	22.24	16.42	22.24	16.42
PF3D7_0109300	PF3D7_0109300.1	N/A	36.56	110.89	36.56	114.5
PF3D7_0109400	PF3D7_0109400.1	N/A	1064.75	415.92	1064.75	419.55
PF3D7_0109500	PF3D7_0109500.1	N/A	104.83	730.99	104.83	730.99
PF3D7_0109600	PF3D7_0109600.1	CoSP	19.35	53.56	19.35	53.56
PF3D7_0109700	PF3D7_0109700.1	RRP36	22.08	71.24	22.08	71.24
PF3D7_0109800	PF3D7_0109800.1	cPheRS	18.96	23.23	18.96	23.23
PF3D7_0109850	PF3D7_0109850.1	N/A	3.59	3.55	3.59	3.55
PF3D7_0109950	PF3D7_0109950.1	C2AP3	40.85	43.12	41.69	46.96
PF3D7_0110000	PF3D7_0110000.1	N/A	178.21	1380.51	178.67	1382.61
PF3D7_0110100	PF3D7_0110100.1	SELB	13.88	11.69	13.88	11.69
PF3D7_0110200	PF3D7_0110200.1	ERV1	54.48	48.47	54.48	48.47
PF3D7_0110300	PF3D7_0110300.1	N/A	12.12	14.55	12.12	14.55
PF3D7_0110400	PF3D7_0110400.1	RPB9	121.76	135.17	121.76	135.17
PF3D7_0110500	PF3D7_0110500.1	BDP3	99.22	48.99	99.22	48.99
PF3D7_0110600	PF3D7_0110600.1	PIP5K	35.01	119.68	35.65	120.7
PF3D7_0110700	PF3D7_0110700.1	CAF1C	539.19	20.43	539.19	20.43
PF3D7_0110800	PF3D7_0110800.1	N/A	275.94	72.45	275.94	72.45
PF3D7_0110900	PF3D7_0110900.1	AKLP1	10.01	14.09	10.01	14.09
PF3D7_0111000	PF3D7_0111000.1	N/A	745.16	59.75	745.56	59.75
PF3D7_0111200	PF3D7_0111200.1	N/A	150.25	37.04	150.25	37.04
PF3D7_0111300	PF3D7_0111300.1	N/A	171.23	27.02	171.23	27.02
PF3D7_0111400	PF3D7_0111400.1	GEXP19	127.4	91.28	127.4	91.33
PF3D7_0111500	PF3D7_0111500.1	N/A	65.79	20.48	65.79	20.48
PF3D7_0111600	PF3D7_0111600.1	N/A	24.39	20.05	24.68	20.05
PF3D7_0111700	PF3D7_0111700.1	N/A	10.79	0.66	11.06	0.66
PF3D7_0111800	PF3D7_0111800.1	N/A	57.32	49.14	57.32	49.14
PF3D7_0111900	PF3D7_0111900.1	N/A	206.69	70.87	206.69	70.87
PF3D7_0112000	PF3D7_0112000.1	TatD	21.68	10.25	21.68	10.25
PF3D7_0112100	PF3D7_0112100.1	PIMMS1	3.22	0	3.22	0
PF3D7_0112200	PF3D7_0112200.1	MRP1	0.25	0.14	0.25	0.14
PF3D7_0112300	PF3D7_0112300.1	N/A	1.98	2.68	581.78	642.65
PF3D7_0112500	PF3D7_0112500.1	N/A	9.28	14.66	9.28	14.66
PF3D7_0112700	PF3D7_0112700.1	N/A	114.97	93.19	2674.16	2572.45
PF3D7_0112800	PF3D7_0112800.1	N/A	22.46	26.65	22.46	26.65
PF3D7_0112900	PF3D7_0112900.1	N/A	6.56	1.36	6.56	1.36
PF3D7_0113000	PF3D7_0113000.1	GARP	82.69	5.01	83.06	5.01
PF3D7_0113100	PF3D7_0113100.1	SURF1.1	48.94	2.05	49.39	2.05
PF3D7_0113200	PF3D7_0113200.1	N/A	19.71	31.65	19.71	31.65
PF3D7_0113300	PF3D7_0113300.1	N/A	1.8	1.14	1.8	1.14
PF3D7_0113400	PF3D7_0113400.1	N/A	24.55	0.57	24.55	0.57
PF3D7_0113600	PF3D7_0113600.1	SURF1.2	0.71	0.99	1.07	0.99
PF3D7_0113700	PF3D7_0113700.1	HSP40	34.3	2.88	34.3	2.88
PF3D7_0113800	PF3D7_0113800.1	N/A	0.82	0.12	0.82	0.12
PF3D7_0113900	PF3D7_0113900.1	CBP1	6.93	82	6.93	82
PF3D7_0114000	PF3D7_0114000.1	EPF1	1419.91	185.86	1589.13	205.11
PF3D7_0114100	PF3D7_0114100.1	MC-2TM	0	0	0	0
PF3D7_0114200	PF3D7_0114200.1	EPF3	0.51	0.15	0.51	0.15
PF3D7_0114300	PF3D7_0114300.1	EPF4	0.33	0	0.33	0
PF3D7_0114400	PF3D7_0114400.1	VAR	0.32	0	0.32	0
PF3D7_0114500	PF3D7_0114500.1	N/A	0.41	0	0.41	0
PF3D7_0114600	PF3D7_0114600.1	N/A	0.47	0.17	0.47	0.17
PF3D7_0114700	PF3D7_0114700.1	RIF	0.33	0	0.33	0
PF3D7_0114750	PF3D7_0114750.1	N/A	0	0	0	0
PF3D7_0114800	PF3D7_0114800.1	N/A	0	0	0	0
PF3D7_0114900	PF3D7_0114900.1	N/A	15.39	0	15.39	0
PF3D7_0115000	PF3D7_0115000.1	SURF1.3	13.6	0.33	61.59	2.3
PF3D7_0115050	PF3D7_0115050.1	N/A	2.89	6.58	5.06	36.18
PF3D7_0115100	PF3D7_0115100.1	N/A	72.73	16.88	422.68	89.48
PF3D7_0115150	PF3D7_0115150.1	N/A	0	0	0	0
PF3D7_0115200	PF3D7_0115200.1	RIF	2.3	0	2.3	0.14
PF3D7_0115300	PF3D7_0115300.1	RIF	0.1	0	0.1	0
PF3D7_0115400	PF3D7_0115400.1	N/A	2.01	0	2.01	0
PF3D7_0115500	PF3D7_0115500.1	N/A	0	23.42	0.57	28.71
PF3D7_0115600	PF3D7_0115600.1	RIF	0.65	2.81	0.65	2.81
PF3D7_0115700	PF3D7_0115700.1	VAR	9.06	13.34	12.89	17.19
PF3D7_0200100	PF3D7_0200100.1	VAR	7.65	2.84	9.47	4.68
PF3D7_0200200	PF3D7_0200200.1	RIF	0	0	0	0
PF3D7_0200300	PF3D7_0200300.1	N/A	0.08	0	8.37	5.45
PF3D7_0200400	PF3D7_0200400.1	N/A	0.12	0.17	0.12	0.17
PF3D7_0200500	PF3D7_0200500.1	RIF	0.2	0	0.2	0
PF3D7_0200600	PF3D7_0200600.1	RIF	0	0	0	0
PF3D7_0200700	PF3D7_0200700.1	RIF	0	0	0	0
PF3D7_0200800	PF3D7_0200800.1	N/A	0.18	0	0.18	2.64
PF3D7_0200900	PF3D7_0200900.1	N/A	0	0.18	0	0.18
PF3D7_0201000	PF3D7_0201000.1	RIF	0.11	0	0.11	0
PF3D7_0201100	PF3D7_0201100.1	N/A	0	0	0	0
PF3D7_0201200	PF3D7_0201200.1	RIF	0	0	0	0
PF3D7_0201300	PF3D7_0201300.1	N/A	0	0	0	0
PF3D7_0201400	PF3D7_0201400.1	N/A	3.45	0	3.45	0
PF3D7_0201500	PF3D7_0201500.1	N/A	9.44	0.4	9.44	0.4
PF3D7_0201600	PF3D7_0201600.1	RLP1	0.04	0.18	0.04	0.18
PF3D7_0201700	PF3D7_0201700.1	N/A	0.06	0.04	0.06	0.04
PF3D7_0201800	PF3D7_0201800.1	KAHsp40	0.84	0.27	0.84	0.27
PF3D7_0201900	PF3D7_0201900.1	EMP3	17.15	0.59	35.36	0.98
PF3D7_0202000	PF3D7_0202000.1	KAHRP	17.29	5.81	17.29	5.81
PF3D7_0202100	PF3D7_0202100.1	LSAP2	0.42	0.05	0.45	0.05
PF3D7_0202200	PF3D7_0202200.1	PTP1	0.55	0.05	0.55	0.05
PF3D7_0202300	PF3D7_0202300.1	N/A	0	0	0	0
PF3D7_0202400	PF3D7_0202400.1	PTEF	13.48	4.53	13.67	4.58
PF3D7_0202500	PF3D7_0202500.1	ETRAMP2	6.05	1.53	6.05	1.53
PF3D7_0202600	PF3D7_0202600.1	N/A	12.32	200.89	12.32	204.19
PF3D7_0202600	PF3D7_0202600.2	N/A	12.32	200.89	12.32	204.19
PF3D7_0202700	PF3D7_0202700.1	OPP	6.52	13.77	6.52	13.77
PF3D7_0202800	PF3D7_0202800.1	N/A	21.76	43.95	25.57	45.67
PF3D7_0202900	PF3D7_0202900.1	DHHC12	70.89	2.96	70.98	2.96
PF3D7_0203000	PF3D7_0203000.1	ROPE	73.82	47.65	75.73	48.53
PF3D7_0203100	PF3D7_0203100.1	N/A	177.26	126.42	177.57	126.65
PF3D7_0203200	PF3D7_0203200.1	N/A	80.61	114.31	83.02	115.87
PF3D7_0203300	PF3D7_0203300.1	ERCC1	51.13	151.31	51.43	153.13
PF3D7_0203400	PF3D7_0203400.1	N/A	816.07	54.36	816.13	54.36
PF3D7_0203500	PF3D7_0203500.1	N/A	0	0	0	0
PF3D7_0203600	PF3D7_0203600.1	N/A	106.61	3.63	106.61	3.63
PF3D7_0203700	PF3D7_0203700.1	MAK16	71.28	227.69	80.41	255.37
PF3D7_0203800	PF3D7_0203800.1	N/A	72.54	1691.13	72.54	1691.13
PF3D7_0203900	PF3D7_0203900.1	N/A	17.09	51.51	17.18	51.51
PF3D7_0204000	PF3D7_0204000.1	CAPH2	204.72	27.07	204.8	27.07
PF3D7_0204100	PF3D7_0204100.1	N/A	72.03	46.2	72.07	46.2
PF3D7_0204200	PF3D7_0204200.1	SEC66	118	194.55	118	194.72
PF3D7_0204300	PF3D7_0204300.1	N/A	256.6	8.84	258.23	8.84
PF3D7_0204400	PF3D7_0204400.1	N/A	65.72	6.57	76.94	6.57
PF3D7_0204500	PF3D7_0204500.1	AspAT	3.81	7.49	3.81	7.49
PF3D7_0204600	PF3D7_0204600.1	N/A	3.33	6.8	3.33	6.8
PF3D7_0204700	PF3D7_0204700.1	HT1	89.56	47.81	89.56	47.81
PF3D7_0204800	PF3D7_0204800.1	N/A	29.09	31.83	29.09	31.83
PF3D7_0204900	PF3D7_0204900.1	COQ5	7.31	20.93	7.31	20.93
PF3D7_0205000	PF3D7_0205000.1	N/A	3636.9	130.39	4231.09	143.4
PF3D7_0205100	PF3D7_0205100.1	N/A	2137.61	146.67	2558.72	156.65
PF3D7_0205200	PF3D7_0205200.1	N/A	442.46	26	442.46	26
PF3D7_0205300	PF3D7_0205300.1	N/A	231	28.02	231	28.02
PF3D7_0205400	PF3D7_0205400.1	N/A	42.01	27.67	42.01	27.67
PF3D7_0205500	PF3D7_0205500.1	N/A	31.77	56.08	31.77	56.08
PF3D7_0205600	PF3D7_0205600.1	N/A	192.46	20.89	192.46	20.89
PF3D7_0205700	PF3D7_0205700.1	N/A	49.23	66.93	49.23	67.09
PF3D7_0205700	PF3D7_0205700.2	N/A	49.23	66.93	49.23	67.09
PF3D7_0205800	PF3D7_0205800.1	PH1	27.16	183.96	27.16	183.96
PF3D7_0205900	PF3D7_0205900.1	RPN1	37.03	121.6	37.03	121.64
PF3D7_0206000	PF3D7_0206000.1	RAD2	71.69	15.63	71.69	15.63
PF3D7_0206100	PF3D7_0206100.1	SufE	7.93	3.91	7.93	3.91
PF3D7_0206200	PF3D7_0206200.1	PAT	63.88	46.66	63.88	46.66
PF3D7_0206300	PF3D7_0206300.1	AROM	95.85	20.11	97.99	20.29
PF3D7_0206500	PF3D7_0206500.1	N/A	24.05	51.75	24.17	52.6
PF3D7_0206600	PF3D7_0206600.1	N/A	3.7	5.08	3.7	5.08
PF3D7_0206700	PF3D7_0206700.1	ADSL	4.22	21.68	4.22	21.68
PF3D7_0206800	PF3D7_0206800.1	MSP2	3.02	2.06	3.02	2.06
PF3D7_0206900	PF3D7_0206900.1	MSP5	0.06	0.1	0.06	0.1
PF3D7_0206900	PF3D7_0206900.2	MSP5	0.06	0.1	0.06	0.1
PF3D7_0207000	PF3D7_0207000.1	MSP4	29.38	71.47	29.38	71.47
PF3D7_0207100	PF3D7_0207100.1	N/A	68.29	55.56	68.29	55.56
PF3D7_0207200	PF3D7_0207200.1	ISCA1	2.94	12.23	2.94	12.23
PF3D7_0207300	PF3D7_0207300.1	SERA8	1.63	0.08	1.63	0.08
PF3D7_0207400	PF3D7_0207400.1	SERA7	6.87	0.49	6.87	0.49
PF3D7_0207500	PF3D7_0207500.1	SERA6	0.54	1.24	0.54	1.24
PF3D7_0207600	PF3D7_0207600.1	SERA5	10.38	8.94	10.38	8.94
PF3D7_0207700	PF3D7_0207700.1	SERA4	2.26	0.97	2.26	0.97
PF3D7_0207800	PF3D7_0207800.1	SERA3	1.01	0.88	1.01	0.88
PF3D7_0207900	PF3D7_0207900.1	SERA2	1.28	1.93	1.28	1.93
PF3D7_0208000	PF3D7_0208000.1	SERA1	26.49	21.25	26.49	21.25
PF3D7_0208100	PF3D7_0208100.1	N/A	134.36	301.14	134.5	301.35
PF3D7_0208200	PF3D7_0208200.1	KRR1	37.42	50.56	37.42	50.56
PF3D7_0208300	PF3D7_0208300.1	N/A	5.8	9.39	6.17	9.66
PF3D7_0208400	PF3D7_0208400.1	N/A	274.22	57.91	274.38	57.91
PF3D7_0208500	PF3D7_0208500.1	ACP	14.1	11.52	14.1	11.52
PF3D7_0208600	PF3D7_0208600.1	RRF1	24.33	74.58	24.33	74.58
PF3D7_0208700	PF3D7_0208700.1	N/A	43.29	161.69	43.29	161.69
PF3D7_0208800	PF3D7_0208800.1	N/A	4.74	51.39	4.74	51.39
PF3D7_0208900	PF3D7_0208900.1	P230p	174.68	2.98	174.7	2.98
PF3D7_0209000	PF3D7_0209000.1	P230	492.6	94.18	498.5	94.72
PF3D7_0209100	PF3D7_0209100.1	PATPL1	52.24	32.18	52.24	32.18
PF3D7_0209200	PF3D7_0209200.1	MTR3	8.7	13.51	8.7	13.51
PF3D7_0209300	PF3D7_0209300.1	IspF	4.43	3.06	4.43	3.06
PF3D7_0209400	PF3D7_0209400.1	N/A	13.14	29.42	13.34	29.42
PF3D7_0209500	PF3D7_0209500.1	N/A	5.1	54.82	5.1	54.82
PF3D7_0209600	PF3D7_0209600.1	N/A	3.78	2.13	3.78	2.13
PF3D7_0209700	PF3D7_0209700.1	N/A	141.46	33.54	141.83	34.25
PF3D7_0209800	PF3D7_0209800.1	UAP56	115.16	216.34	115.16	216.34
PF3D7_0209900	PF3D7_0209900.1	N/A	9.25	2.67	9.25	2.67
PF3D7_0210000	PF3D7_0210000.1	Sec61-gamma	161.85	418.04	161.85	418.04
PF3D7_0210100	PF3D7_0210100.1	RPL37A	118.29	475.14	118.29	475.14
PF3D7_0210100	PF3D7_0210100.2	RPL37A	118.29	475.14	118.29	475.14
PF3D7_0210200	PF3D7_0210200.1	N/A	548.18	52.03	548.53	52.05
PF3D7_0210300	PF3D7_0210300.1	N/A	3.64	15.35	3.96	15.35
PF3D7_0210400	PF3D7_0210400.1	N/A	10.63	9.81	10.84	9.81
PF3D7_0210500	PF3D7_0210500.1	N/A	7	5.39	7.05	5.39
PF3D7_0210600	PF3D7_0210600.1	CERLI1	10.85	214.63	10.85	214.63
PF3D7_0210700	PF3D7_0210700.1	SYN17	15.63	109.87	15.63	109.87
PF3D7_0210800	PF3D7_0210800.1	N/A	60.32	6.15	60.32	6.15
PF3D7_0210900	PF3D7_0210900.1	N/A	56.48	38.6	56.48	38.6
PF3D7_0211000	PF3D7_0211000.1	N/A	13.12	3.06	13.12	3.06
PF3D7_0211100	PF3D7_0211100.1	N/A	7.64	11.96	7.64	11.96
PF3D7_0211200	PF3D7_0211200.1	RAB5a	3.62	10.27	3.94	10.27
PF3D7_0211300	PF3D7_0211300.1	N/A	22.1	20.63	22.56	20.77
PF3D7_0211400	PF3D7_0211400.1	KASIII	12.16	46.47	12.16	46.47
PF3D7_0211500	PF3D7_0211500.1	N/A	38.17	28.32	38.17	28.32
PF3D7_0211600	PF3D7_0211600.1	ALG14	1.01	1.72	1.01	1.72
PF3D7_0211700	PF3D7_0211700.1	TKL1	42.72	11.67	42.72	11.67
PF3D7_0211800	PF3D7_0211800.1	AsnRS	114.67	86.61	114.67	86.61
PF3D7_0211900	PF3D7_0211900.1	N/A	64.93	23.11	64.93	23.52
PF3D7_0212000	PF3D7_0212000.1	N/A	89.52	47.53	89.52	47.53
PF3D7_0212100	PF3D7_0212100.1	N/A	75.13	26.74	75.15	26.74
PF3D7_0212200	PF3D7_0212200.1	N/A	30.09	6.8	30.09	6.8
PF3D7_0212300	PF3D7_0212300.1	ERF1	63.49	364.13	63.49	364.13
PF3D7_0212400	PF3D7_0212400.1	NUP390	18.83	7.73	18.95	7.74
PF3D7_0212500	PF3D7_0212500.1	NUP434	68.86	30.6	68.86	30.6
PF3D7_0212600	PF3D7_0212600.1	SPATR	4.72	5.76	4.72	5.76
PF3D7_0212700	PF3D7_0212700.1	N/A	20.92	185.43	20.92	185.43
PF3D7_0212800	PF3D7_0212800.1	MATE	40.65	16.39	40.65	16.39
PF3D7_0212900	PF3D7_0212900.1	ATEL1	138.14	18.62	138.46	18.62
PF3D7_0213000	PF3D7_0213000.1	N/A	30.79	29.19	31.21	29.26
PF3D7_0213100	PF3D7_0213100.1	SIS1	117.59	217.98	117.64	218.06
PF3D7_0213200	PF3D7_0213200.1	N/A	154.77	56.19	170.38	64.66
PF3D7_0213300	PF3D7_0213300.1	N/A	405.86	35.31	426.94	46.74
PF3D7_0213400	PF3D7_0213400.1	PK7	98.85	31.36	98.85	31.36
PF3D7_0213500	PF3D7_0213500.1	N/A	107.52	17.19	107.52	17.19
PF3D7_0213600	PF3D7_0213600.1	N/A	419.81	18.42	420.41	18.42
PF3D7_0213700	PF3D7_0213700.1	N/A	1550.54	198.59	1736.13	282.16
PF3D7_0213800	PF3D7_0213800.1	N/A	57.62	524.22	57.62	524.3
PF3D7_0213900	PF3D7_0213900.1	N/A	73.15	63.31	73.22	63.31
PF3D7_0214000	PF3D7_0214000.1	CCT8	61.26	78	61.26	78
PF3D7_0214100	PF3D7_0214100.1	SEC31	41.62	26.85	41.62	26.85
PF3D7_0214200	PF3D7_0214200.1	mRPL13	154.56	4.46	154.56	4.46
PF3D7_0214300	PF3D7_0214300.1	N/A	469.49	14.63	533.41	16.91
PF3D7_0214400	PF3D7_0214400.1	N/A	90.56	223.68	90.56	223.68
PF3D7_0214500	PF3D7_0214500.1	N/A	9.91	3.31	9.91	3.31
PF3D7_0214600	PF3D7_0214600.1	STK2	0.79	1.99	0.79	1.99
PF3D7_0214700	PF3D7_0214700.1	N/A	120.95	3.23	122.41	3.23
PF3D7_0214800	PF3D7_0214800.1	N/A	36.65	3.65	36.86	3.65
PF3D7_0214900	PF3D7_0214900.1	RON6	318.01	11.99	321.29	11.99
PF3D7_0215000	PF3D7_0215000.1	ACS9	226.15	89.57	226.15	89.57
PF3D7_0215100	PF3D7_0215100.1	N/A	62.65	16.02	62.81	16.02
PF3D7_0215200	PF3D7_0215200.1	N/A	15.95	13.15	15.95	13.15
PF3D7_0215300	PF3D7_0215300.1	ACS8	5.17	0.03	5.17	0.03
PF3D7_0215400	PF3D7_0215400.1	N/A	38.08	23.02	38.08	23.02
PF3D7_0215500	PF3D7_0215500.1	N/A	95.66	18.14	95.66	18.14
PF3D7_0215600	PF3D7_0215600.1	GET2	42.62	50.56	42.72	50.56
PF3D7_0215700	PF3D7_0215700.1	RPB2	202.29	68.53	202.29	68.53
PF3D7_0215800	PF3D7_0215800.1	ORC5	234.01	8.45	234.01	8.45
PF3D7_0215900	PF3D7_0215900.1	DHHC11	6.07	26.78	6.07	26.78
PF3D7_0216000	PF3D7_0216000.1	N/A	393.96	1667.81	430.42	1784.11
PF3D7_0216100	PF3D7_0216100.1	N/A	11.47	3.31	11.47	3.31
PF3D7_0216200	PF3D7_0216200.1	N/A	14.96	29.6	14.96	29.6
PF3D7_0216300	PF3D7_0216300.1	N/A	10.94	11.8	10.94	11.99
PF3D7_0216400	PF3D7_0216400.1	VPS45	15	42.88	15	43.25
PF3D7_0216500	PF3D7_0216500.1	N/A	20.86	16.39	20.86	16.39
PF3D7_0216600	PF3D7_0216600.1	N/A	45.95	59.4	45.95	59.4
PF3D7_0216700	PF3D7_0216700.1	ATG11	2104.31	28.11	2106.19	28.11
PF3D7_0216700	PF3D7_0216700.2	ATG11	2104.31	28.11	2106.19	28.11
PF3D7_0216800	PF3D7_0216800.1	N/A	2.69	1.85	2.72	2.07
PF3D7_0216900	PF3D7_0216900.1	N/A	1136.8	14.17	1136.8	14.17
