"Gene ID","Name/ID/Alias","Type","Source"
"PF3D7_0101200","CZT98684.1","alternate ID","protein_id"
"PF3D7_0101200","XP_001349724.1","alternate ID","RefSeq_peptide"
"PF3D7_0101300","B9ZSH7","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101300","PFA0065w","previous ID","N/A"
"PF3D7_0101300","XP_002808599.1","alternate ID","RefSeq_peptide"
"PF3D7_0101300","XM_002808553.1","alternate ID","RefSeq_dna"
"PF3D7_0101300","MC-2TM","name","N/A"
"PF3D7_0101300","UPI000194AF71","alternate ID","UniParc"
"PF3D7_0101300","MAL1P1.4","previous ID","N/A"
"PF3D7_0101300","CAX51181.1","alternate ID","protein_id"
"PF3D7_0101400","PFA0070c","previous ID","N/A"
"PF3D7_0101400","EPF1","name","N/A"
"PF3D7_0101400","MAL1P1.5","previous ID","N/A"
"PF3D7_0101500","PFA0075w","previous ID","N/A"
"PF3D7_0101500","VAR","name","N/A"
"PF3D7_0101500","MAL1P1.6","previous ID","N/A"
"PF3D7_0101600","Q2XRC6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101600","UPI000008635A","alternate ID","UniParc"
"PF3D7_0101600","XM_001350913.1","alternate ID","RefSeq_dna"
"PF3D7_0101600","Q8I2C1","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101600","RIF","name","N/A"
"PF3D7_0101600","PFA0080c","previous ID","N/A"
"PF3D7_0101600","CAD48976.1","alternate ID","protein_id"
"PF3D7_0101600","XP_001350949.1","alternate ID","RefSeq_peptide"
"PF3D7_0101600","RIF-A","synonym","N/A"
"PF3D7_0101600","MAL1P1.7","previous ID","N/A"
"PF3D7_0101700","VAR","name","N/A"
"PF3D7_0101700","PFA0085c","previous ID","N/A"
"PF3D7_0101700","MAL1P1.8","previous ID","N/A"
"PF3D7_0101800","MAL1P1.9b","previous ID","N/A"
"PF3D7_0101800","UPI000008635B","alternate ID","UniParc"
"PF3D7_0101800","PFA0090c","previous ID","N/A"
"PF3D7_0101800","Q8I2C0","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101800","CAD48978.1","alternate ID","protein_id"
"PF3D7_0101800","Q2XR59","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101800","XP_001350950.1","alternate ID","RefSeq_peptide"
"PF3D7_0101800","XM_001350914.1","alternate ID","RefSeq_dna"
"PF3D7_0101900","UPI000008635C","alternate ID","UniParc"
"PF3D7_0101900","PFA0095c","previous ID","N/A"
"PF3D7_0101900","MAL1P1.10","previous ID","N/A"
"PF3D7_0101900","XP_001350951.1","alternate ID","RefSeq_peptide"
"PF3D7_0101900","Q8I2B9","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101900","CAD48979.1","alternate ID","protein_id"
"PF3D7_0101900","RIF","name","N/A"
"PF3D7_0101900","RIF-B","synonym","N/A"
"PF3D7_0101900","XM_001350915.1","alternate ID","RefSeq_dna"
"PF3D7_0102000","MAL1P1.11","previous ID","N/A"
"PF3D7_0102000","PFA0100c","previous ID","N/A"
"PF3D7_0102100","MAL1P1.11a","previous ID","N/A"
"PF3D7_0102100","PFA0105w","previous ID","N/A"
"PF3D7_0102200","UPI0000086553","alternate ID","UniParc"
"PF3D7_0102200","Q7M3R2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102200","XP_001350954.1","alternate ID","RefSeq_peptide"
"PF3D7_0102200","RESA1","synonym","N/A"
"PF3D7_0102200","RESA","name","N/A"
"PF3D7_0102200","MAL1P1.13","previous ID","N/A"
"PF3D7_0102200","PFA0110w","previous ID","N/A"
"PF3D7_0102200","Q9U413","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102200","Pf155","synonym","N/A"
"PF3D7_0102200","CAD48982.1","alternate ID","protein_id"
"PF3D7_0102200","XM_001350918.1","alternate ID","RefSeq_dna"
"PF3D7_0102200","Q8I0U6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102300","XM_001350919.1","alternate ID","RefSeq_dna"
"PF3D7_0102300","UPI000008635F","alternate ID","UniParc"
"PF3D7_0102300","PFA0115w","previous ID","N/A"
"PF3D7_0102300","CAD48983.1","alternate ID","protein_id"
"PF3D7_0102300","XP_001350955.1","alternate ID","RefSeq_peptide"
"PF3D7_0102300","Q8I2B6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102300","MAL1P1.14","previous ID","N/A"
"PF3D7_0102400","PFA0120c","previous ID","N/A"
"PF3D7_0102400","MAL1P1.15","previous ID","N/A"
"PF3D7_0102500","Q8IAD6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","UPI0000086361","alternate ID","UniParc"
"PF3D7_0102500","Q6RKB5","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","EBA181","name","N/A"
"PF3D7_0102500","Q6RKB8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q106B2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","A0A0K2RVS8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","A0A0K2RVP8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","CAD48985.1","alternate ID","protein_id"
"PF3D7_0102500","A0A0K2RVP3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q105Z6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q6RKB6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q8IAD5","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","XM_001350921.1","alternate ID","RefSeq_dna"
"PF3D7_0102500","A0A0K2RWA7","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","MAL1P1.16","previous ID","N/A"
"PF3D7_0102500","Q6RKC3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q6RKC4","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","PFA0125c","previous ID","N/A"
"PF3D7_0102500","A0A0K2RVP5","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q105Z8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q6RI89","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q6RKC0","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","A0A0K2RWA2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q8I2B4","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","XP_001350957.1","alternate ID","RefSeq_peptide"
"PF3D7_0102500","JESEBL","synonym","N/A"
"PF3D7_0102500","Q6RKC1","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102500","Q6RKC2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102600","XP_002808600.1","alternate ID","RefSeq_peptide"
"PF3D7_0102600","XM_002808554.1","alternate ID","RefSeq_dna"
"PF3D7_0102600","TSTK1","synonym","N/A"
"PF3D7_0102600","CAX51182.1","alternate ID","protein_id"
"PF3D7_0102600","FIKK1","name","N/A"
"PF3D7_0102600","B9ZSH8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102600","UPI000194AF72","alternate ID","UniParc"
"PF3D7_0102600","MAL1P1.17","previous ID","N/A"
"PF3D7_0102600","PFA0130c","previous ID","N/A"
"PF3D7_0102700","CAD48987.1","alternate ID","protein_id"
"PF3D7_0102700","PFA0135w","previous ID","N/A"
"PF3D7_0102700","Q6QUY6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102700","XM_001350923.1","alternate ID","RefSeq_dna"
"PF3D7_0102700","UPI0000086362","alternate ID","UniParc"
"PF3D7_0102700","Q8I2B3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102700","MAL1P1.18","previous ID","N/A"
"PF3D7_0102700","MaTrA","name","N/A"
"PF3D7_0102700","XP_001350959.1","alternate ID","RefSeq_peptide"
"PF3D7_0102800","Q8I2B2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102800","PF3D7_0102800","name","annotation"
"PF3D7_0102800","PFA0140c","previous ID","N/A"
"PF3D7_0102800","UPI00078E98AC","alternate ID","UniParc"
"PF3D7_0102800","MAL1P1.19","previous ID","N/A"
"PF3D7_0102800","CAD48988.2","alternate ID","protein_id"
"PF3D7_0102900","XP_001350961.1","alternate ID","RefSeq_peptide"
"PF3D7_0102900","1ASZ","alternate ID","N/A"
"PF3D7_0102900","CAD48989.1","alternate ID","protein_id"
"PF3D7_0102900","Q8I2B1","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0102900","UPI0000086364","alternate ID","UniParc"
"PF3D7_0102900","PF3D7_0102900","name","annotation"
"PF3D7_0102900","PFA0145c","previous ID","N/A"
"PF3D7_0102900","XM_001350925.1","alternate ID","RefSeq_dna"
"PF3D7_0102900","MAL1P1.20","previous ID","N/A"
"PF3D7_0103000","B9ZSH9","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103000","MAL1P1.71","previous ID","N/A"
"PF3D7_0103000","XM_002808555.1","alternate ID","RefSeq_dna"
"PF3D7_0103000","XP_002808601.1","alternate ID","RefSeq_peptide"
"PF3D7_0103000","UPI000194AF73","alternate ID","UniParc"
"PF3D7_0103000","CAX51183.1","alternate ID","protein_id"
"PF3D7_0103000","PF3D7_0103000","name","annotation"
"PF3D7_0103000","PFA0150c","previous ID","N/A"
"PF3D7_0103100","CAD48991.1","alternate ID","protein_id"
"PF3D7_0103100","UPI0000086366","alternate ID","UniParc"
"PF3D7_0103100","MAL1P1.72","previous ID","N/A"
"PF3D7_0103100","XP_001350963.1","alternate ID","RefSeq_peptide"
"PF3D7_0103100","XM_001350927.1","alternate ID","RefSeq_dna"
"PF3D7_0103100","VPS51","name","N/A"
"PF3D7_0103100","PFA0155c","previous ID","N/A"
"PF3D7_0103100","Q8I2A9","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103200","PF3D7_0103200","name","annotation"
"PF3D7_0103200","NT4","name","N/A"
"PF3D7_0103200","UPI0000086367","alternate ID","UniParc"
"PF3D7_0103200","XM_001350928.1","alternate ID","RefSeq_dna"
"PF3D7_0103200","PFA0160c","previous ID","N/A"
"PF3D7_0103200","XP_001350964.1","alternate ID","RefSeq_peptide"
"PF3D7_0103200","ENT4","synonym","N/A"
"PF3D7_0103200","Q8I2A8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103200","CAD48992.1","alternate ID","protein_id"
"PF3D7_0103200","MAL1P1.73","previous ID","N/A"
"PF3D7_0103300","PFA0165c","previous ID","N/A"
"PF3D7_0103300","B9ZSI0","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103300","XM_002808556.1","alternate ID","RefSeq_dna"
"PF3D7_0103300","UPI000194AF74","alternate ID","UniParc"
"PF3D7_0103300","CAX51184.1","alternate ID","protein_id"
"PF3D7_0103300","MAL1P1.74","previous ID","N/A"
"PF3D7_0103300","XP_002808602.1","alternate ID","RefSeq_peptide"
"PF3D7_0103400","PFA0170c","previous ID","N/A"
"PF3D7_0103400","MAL1P1.74b","previous ID","N/A"
"PF3D7_0103400","UPI00078D9B26","alternate ID","UniParc"
"PF3D7_0103400","PF3D7_0103400","name","annotation"
"PF3D7_0103500","UPI00078BE685","alternate ID","UniParc"
"PF3D7_0103500","PFA0175w","previous ID","N/A"
"PF3D7_0103500","B9ZSI1","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103500","MAL1P1.21","previous ID","N/A"
"PF3D7_0103500","PF3D7_0103500","name","annotation"
"PF3D7_0103500","XM_002808557.1","alternate ID","RefSeq_dna"
"PF3D7_0103500","CAX51185.2","alternate ID","protein_id"
"PF3D7_0103500","XP_002808603.1","alternate ID","RefSeq_peptide"
"PF3D7_0103600","MAL1P1.22","previous ID","N/A"
"PF3D7_0103600","PFA0180w","previous ID","N/A"
"PF3D7_0103600","CAD48996.2","alternate ID","protein_id"
"PF3D7_0103600","PSH1","name","N/A"
"PF3D7_0103600","Q8I2A4","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103600","UPI00078D16DA","alternate ID","UniParc"
"PF3D7_0103700","Q8I2A3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103700","UPI0006783AC9","alternate ID","UniParc"
"PF3D7_0103700","PFA0185w","previous ID","N/A"
"PF3D7_0103700","PSTK","name","N/A"
"PF3D7_0103700","MAL1P1.23","previous ID","N/A"
"PF3D7_0103700","CAD48997.2","alternate ID","protein_id"
"PF3D7_0103800","XP_001350970.1","alternate ID","RefSeq_peptide"
"PF3D7_0103800","ARP1","name","N/A"
"PF3D7_0103800","Q8I2A2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103800","PFA0190c","previous ID","N/A"
"PF3D7_0103800","PF3D7_0103800","name","annotation"
"PF3D7_0103800","XM_001350934.1","alternate ID","RefSeq_dna"
"PF3D7_0103800","1YAG","alternate ID","N/A"
"PF3D7_0103800","UPI000008636D","alternate ID","UniParc"
"PF3D7_0103800","MAL1P1.24","previous ID","N/A"
"PF3D7_0103800","CAD48998.1","alternate ID","protein_id"
"PF3D7_0103900","PFA0195w","previous ID","N/A"
"PF3D7_0103900","Q8I2A1","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0103900","XP_001350971.1","alternate ID","RefSeq_peptide"
"PF3D7_0103900","MAL1P1.29","previous ID","N/A"
"PF3D7_0103900","CAD48999.1","alternate ID","protein_id"
"PF3D7_0103900","XM_001350935.1","alternate ID","RefSeq_dna"
"PF3D7_0103900","PIESP15","name","N/A"
"PF3D7_0103900","UPI000008636E","alternate ID","UniParc"
"PF3D7_0103900","PF3D7_0103900","name","annotation"
"PF3D7_0104000","Q8I2A0","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104000","XP_001350972.1","alternate ID","RefSeq_peptide"
"PF3D7_0104000","M1EUE6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104000","CAD49000.1","alternate ID","protein_id"
"PF3D7_0104000","MAL1P1.30","previous ID","N/A"
"PF3D7_0104000","5UY2","alternate ID","PDB"
"PF3D7_0104000","S21","synonym","N/A"
"PF3D7_0104000","PFA0200w","previous ID","N/A"
"PF3D7_0104000","XM_001350936.1","alternate ID","RefSeq_dna"
"PF3D7_0104000","5V2B","alternate ID","PDB"
"PF3D7_0104000","UPI000008636F","alternate ID","UniParc"
"PF3D7_0104000","TRSP","name","N/A"
"PF3D7_0104000","PF3D7_0104000","name","annotation"
"PF3D7_0104000","5VR5","alternate ID","PDB"
"PF3D7_0104100","A0A650D690","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","PF3D7_0104100","name","annotation"
"PF3D7_0104100","A0A650D6A3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","CAD49001.1","alternate ID","protein_id"
"PF3D7_0104100","A0A650D6L3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","A0A650D687","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","A0A650D672","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","A0A650D653","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","XM_001350937.1","alternate ID","RefSeq_dna"
"PF3D7_0104100","Q8I299","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","A0A650D6B8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","A0A650D694","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","A0A650D649","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","XP_001350973.1","alternate ID","RefSeq_peptide"
"PF3D7_0104100","UPI0000086370","alternate ID","UniParc"
"PF3D7_0104100","A0A650D6L7","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104100","PFA0205w","previous ID","N/A"
"PF3D7_0104100","MAL1P1.31","previous ID","N/A"
"PF3D7_0104200","Q8I298","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104200","XM_001350938.1","alternate ID","RefSeq_dna"
"PF3D7_0104200","PFA0210c","previous ID","N/A"
"PF3D7_0104200","CAD49002.1","alternate ID","protein_id"
"PF3D7_0104200","PF3D7_0104200","name","annotation"
"PF3D7_0104200","MAL1P1.33","previous ID","N/A"
"PF3D7_0104200","XP_001350974.1","alternate ID","RefSeq_peptide"
"PF3D7_0104200","UPI0000086371","alternate ID","UniParc"
"PF3D7_0104300","A0A5J6CC28","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","CAD49004.3","alternate ID","protein_id"
"PF3D7_0104300","A0A5J6C8G6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","A0A5J6CB24","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","MAL1P1.34b","previous ID","N/A"
"PF3D7_0104300","A0A5J6CAN8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","A0A5J6CB44","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","A0A5J6CBC4","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","A0A5J6CBU6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","PFA0220w","previous ID","N/A"
"PF3D7_0104300","UPI00078C94FD","alternate ID","UniParc"
"PF3D7_0104300","XP_001350976.2","alternate ID","RefSeq_peptide"
"PF3D7_0104300","A0A5J6C9A7","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","C19.A76","alternate ID","MEROPS"
"PF3D7_0104300","UBP1","name","N/A"
"PF3D7_0104300","XM_001350940.2","alternate ID","RefSeq_dna"
"PF3D7_0104300","A0A5J6CCN9","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","A0A5J6CBG6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","A0A5J6C8J3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","PFA0215w","previous ID","N/A"
"PF3D7_0104300","Q8I296","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104300","A0A5J6C998","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104400","00900+1.17.7.4","alternate ID","KEGG_Enzyme"
"PF3D7_0104400","PFA0225w","previous ID","N/A"
"PF3D7_0104400","4N7B","alternate ID","annotation"
"PF3D7_0104400","IspH","synonym","N/A"
"PF3D7_0104400","XP_001350977.1","alternate ID","RefSeq_peptide"
"PF3D7_0104400","XM_001350941.1","alternate ID","RefSeq_dna"
"PF3D7_0104400","MAL1P1.35","previous ID","N/A"
"PF3D7_0104400","Q9BJX6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104400","UPI0000086374","alternate ID","UniParc"
"PF3D7_0104400","CAD49005.1","alternate ID","protein_id"
"PF3D7_0104400","Q8I295","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104400","LytB","name","N/A"
"PF3D7_0104500","CAD49006.2","alternate ID","protein_id"
"PF3D7_0104500","XM_001350942.1","alternate ID","RefSeq_dna"
"PF3D7_0104500","UPI0003E43A81","alternate ID","UniParc"
"PF3D7_0104500","Q8I294","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0104500","XP_001350978.1","alternate ID","RefSeq_peptide"
"PF3D7_0104500","PFA0230c","previous ID","N/A"
"PF3D7_0104500","MAL1P1.36","previous ID","N/A"
