	Accession ID	Gene ID	Product Description	Neighbours	essential	Degree	Betweenness Centrality	Closeness Centrality
20	Q8IKC9	PF3D7_1470900	proteasome subunit beta type-2, putative	['C6KT34', 'Q8IJT1', 'C0H4C7', 'Q8I5C4', 'Q8I6T3', 'Q8IDG3', 'A0A5K1K7U1', 'O96153', 'O96220', 'Q8II43', 'Q8IDG2', 'O97282', 'Q8IAR3', 'C6KST3', 'Q8IK90', 'Q8I261', 'Q8ID43', 'C6KST5', 'Q8I0U7', 'O77323', 'O77396', 'Q7K6A9', 'Q8IJW0', 'Q8IBI3']	True	24	0.0005207077020684117	0.3032956636234424
21	Q8IKF0	PF3D7_1468700	eukaryotic initiation factor 4A	['Q8I0V4', 'Q9TY94', 'C6KT23', 'Q8IDB0', 'Q8IC05', 'Q7KQL5', 'Q8IKP1']	True	7	0.0006385442965476953	0.3161627523832248
22	Q8I5R7	PF3D7_1213800	proline--tRNA ligase	['Q8IDJ8', 'Q8IIM8']	True	2	1.698458535493843e-05	0.29166771485832643
23	A0A5K1K8Y8	PF3D7_1347500	DNA/RNA-binding protein Alba 4	['Q8IJX8', 'Q8ILL3', 'Q8IIV2', 'Q8IAX8', 'Q8IC01']	True	5	0.0002855663782728643	0.3269185129835494
24	C6KTB3	PF3D7_0627700	transportin	['O96153', 'Q8I323', 'O77312']	True	3	0.0025059849778964536	0.3010453248166733
25	Q8I3I6	PF3D7_0528100	AP-1/2 complex subunit beta, putative	['Q8IB24', 'Q8ILG6', 'Q8I2X4', 'C0H5H0', 'Q8I323', 'K7NTP5']	True	6	0.0051613311452331605	0.3384318619116077
26	Q8I6T2	PF3D7_1345700	isocitrate dehydrogenase [NADP], mitochondrial	['Q8IJC6']	True	1	0.0	0.28046695775931235
27	Q8IJN7	PF3D7_1015900	enolase	['Q8ILL2', 'Q8ILC1', 'Q8IJ34', 'Q8IDR9', 'Q6LFH8', 'Q8IKR1', 'O97313', 'Q8IAX5', 'Q8II61', 'Q8I0V4', 'Q8IM10']	True	11	0.00289387043257162	0.3444980933987025
28	Q8IIJ6	PF3D7_1117100	ubiquitin carboxyl-terminal hydrolase UCH54	['Q8II71', 'C0H5H0', 'Q8IJW0', 'A0A5K1K9F3', 'Q8I323', 'Q8IC01', 'Q8ILC1', 'Q8IJM0', 'Q8IJA0']	True	9	0.00011203064446277447	0.3390603333357704
29	Q8I5L6	PF3D7_1219100	clathrin heavy chain, putative	['O96221', 'O96153']	True	2	0.00010909822781637826	0.25806924311139556
30	Q8I3A9	PF3D7_0904000	GTPase-activating protein, putative	['Q8I323']	True	1	0.0	0.2949660573526855
31	Q8IJC6	PF3D7_1027800	60S ribosomal protein L3	['C6KT23', 'Q8IL58', 'Q8IDB0', 'Q8IJ60', 'Q8IEK3', 'Q8ILK3', 'Q8IB24', 'Q8IBN4', 'Q8IC05', 'Q8IKM5', 'Q8IIU8', 'Q8I463', 'Q8IKX4', 'Q8IAX6', 'Q8IKH8', 'C6KTA4', 'C0H4A6', 'Q8IAX8', 'Q8IL75', 'Q8IBV7', 'Q8IJ34', 'Q8IDR9', 'O77381', 'Q8IKW5', 'Q8IK83', 'Q8IJX8', 'Q8IJV6', 'Q8IL02', 'Q8IFP2', 'Q8ILL3', 'Q8I6T2', 'Q8I3R0', 'O97313', 'Q8ILI2', 'Q8I0P6', 'C0H5C2', 'Q8IAX5', 'Q8IDJ8', 'Q8IK15', 'Q8IIV2', 'Q8IIA2', 'Q8IDK7', 'Q8IE10', 'C6KT19', 'Q8IM10', 'Q6ZMA7', 'C6KT25', 'Q8IBY4', 'A0A5K1K8V8', 'K7NTP5', 'Q8I0V2']	True	51	0.017949693872144665	0.3926537408630373
32	Q8I467	PF3D7_0503400	actin-depolymerizing factor 1	['Q8I3A1']	True	1	0.0	0.23155864236057366
33	Q8IJA9	PF3D7_1029600	adenosine deaminase	['Q8IDR9']	True	1	0.0	0.2921343832020997
34	Q8IDF6	PF3D7_1354500	adenylosuccinate synthetase	['Q8ILA4', 'Q7KQL9', 'Q8ID43', 'Q8I5C4', 'Q8IFP3', 'Q6ZLZ9']	True	6	2.530154761172188e-05	0.30030261431136895
35	Q8I463	PF3D7_0503800	60S ribosomal protein L31	['Q8IIX0', 'Q8IKX4', 'Q8IIU8', 'O97320', 'Q8IBV7', 'A0A144A1R5', 'Q8I0V4', 'Q8IJC6', 'Q8IKQ9', 'Q8IL02', 'Q8ILL2', 'Q8IKK7', 'Q8IC05', 'Q8IDB0', 'Q8IB14', 'Q8IJ34', 'Q8IKH8', 'Q7KQL5', 'C6KT23', 'Q8IJX3']	True	20	0.007909387062506292	0.3362504410705568
36	C6KSV8	PF3D7_0611300	ATP synthase-associated protein, putative	['Q8IBN4', 'A0A5K1K9E9', 'Q8IC43', 'Q8I484', 'C0H571', 'Q8I0V2', 'Q8IJ28']	True	7	0.009187684572420727	0.30030261431136895
37	Q8IDS0	PF3D7_1341900	V-type proton ATPase subunit D, putative	['Q8IE84', 'Q6ZMA8', 'C0H4C7', 'Q8IEP9', 'Q7KQL5', 'Q8IKW5', 'Q8I280', 'Q8I2H3', 'Q8I0V2', 'Q8I3R0']	True	10	0.002444520902260848	0.3474481246456943
38	Q8IIB6	PF3D7_1124700	GrpE protein homolog, mitochondrial, putative	['Q76NN6']	True	1	0.0	0.2657699992741082
39	C6S3G2	PF3D7_1143000	alpha/beta hydrolase, putative	['Q8I0V2', 'O96252']	True	2	0.0	0.2919008625120901
40	Q8IL11	PF3D7_1446200	M17 leucyl aminopeptidase	['Q8IEJ6', 'Q8IJN9', 'Q8IC01', 'Q8IEA6', 'Q8I0X1', 'C6KTA3']	True	6	0.0010187994277420288	0.2968845357744916
41	Q8I323	PF3D7_0912900	26S proteasome regulatory subunit RPN8, putative	['Q8ILE3', 'Q76NM6', 'Q8IKB2', 'Q8I0V2', 'Q8I280', 'Q8ILI2', 'Q8I0P6', 'Q8IAR6', 'Q8I3A9', 'C0H5C2', 'Q8IIA2', 'Q8IDE7', 'Q7K6A9', 'Q8I2X4', 'Q8IBI3', 'Q8IKP1', 'C0H5H0', 'O97282', 'Q8ILC1', 'Q8IJM0', 'Q8IJA0', 'Q8II43', 'Q8IEP9', 'Q8IFP3', 'Q8IDG2', 'K7NTP5', 'A0A5K1K7U1', 'Q8III6', 'Q8II24', 'Q8II71', 'Q8IKH3', 'Q8IDG3', 'Q8IC01', 'Q8IIJ6', 'Q8I1V1', 'Q8IKM5', 'O96230', 'Q8IDR9', 'Q8I3I6', 'Q8IEQ1', 'C6KST3', 'Q8I5C4', 'Q8I261', 'C6KTB3', 'Q8I3N3', 'C0H4A6', 'Q8IJW0', 'C6KST5', 'Q8IEK3', 'Q8IKW5', 'O77381', 'Q8I3R0', 'A0A5K1K9F3']	True	53	0.053807554346528265	0.4216720311808599
42	A0A5K1K8H7	PF3D7_0512600	ras-related protein Rab-1B	['Q76NM4', 'Q8I3W9', 'Q8IIK8', 'Q8I274']	True	4	0.0030981709391186205	0.24977289945459963
43	Q8I280	PF3D7_0106100	V-type proton ATPase subunit C, putative	['Q8I323', 'Q8IE84', 'Q76NM6', 'Q8I0V2', 'Q8IEP9', 'Q8IDS0', 'Q8IKW5', 'Q6ZMA8', 'Q8ID28']	True	9	0.00041762185167897503	0.3396911432582555
44	Q7KQM0	PF3D7_1439900	triosephosphate isomerase	['Q8IIG6', 'Q7KQL9']	True	2	0.0	0.25201378813155606
45	Q8IKX4	PF3D7_1450100	signal recognition particle subunit SRP54	['Q8I463', 'Q8IJC6', 'Q8IIA2', 'Q8ILK3', 'O97249', 'Q76NM6', 'C6KT23']	True	7	0.00012096878807539627	0.3022913733465436
46	C0H4A6	PF3D7_0415900	60S ribosomal protein L15, putative	['Q8IK15', 'C6KT23', 'K7NTP5', 'Q8I0P6', 'Q8I431', 'Q8IJC6', 'Q8IM10', 'Q8IET7', 'Q8IDK7', 'Q8IAX8', 'O77381', 'Q8IB24', 'C0H5C2', 'Q8IL58', 'Q8I487', 'Q8IIV2', 'Q8IKM5', 'Q8IDB0', 'Q8IDR9', 'Q8IIU8', 'Q8IIV1', 'Q8IE10', 'Q8IL75', 'Q9TY99', 'Q8I320', 'Q8IIB4', 'Q8IEK3', 'Q8I3R0', 'Q8IJV6', 'Q8I323', 'Q8IL02', 'Q8ID28', 'Q8ILL3', 'Q8IAX5', 'Q8IJS2', 'Q8IKR1', 'O97313', 'Q8IIA2']	True	38	0.0048050330992943854	0.3756872211961159
47	Q8I261	PF3D7_0108000	proteasome subunit beta type-3, putative	['A0A5K1K7U1', 'Q8IJW0', 'Q8IDG3', 'C6KT34', 'A0A5K1K9F3', 'Q8IKC9', 'Q8IJM0', 'Q8I0U7', 'Q8IJA0', 'O77396', 'O96153', 'Q8I6T3', 'Q7K6A9', 'Q8I323', 'Q8IK90', 'C6KST3', 'Q8IDG2', 'Q76NM3', 'Q8II71', 'Q8ID43', 'Q8IJT1', 'Q8IAR3', 'Q8IBI3']	True	23	0.0012958614425050991	0.3243054875689384
48	Q8IJ60	PF3D7_1034900	methionine--tRNA ligase	['Q8IJC6', 'Q8IDK7', 'Q8IDJ8', 'Q8IE10']	True	4	0.0	0.3010453248166733
49	Q8IB31	PF3D7_0819600	ubiquitin-like protein, putative	['O97320', 'Q8IBY4', 'Q8IL02', 'Q8IDB0']	True	4	0.0	0.2926025472777441
50	Q8I3A1	PF3D7_0904800	replication protein A1, small fragment	['P61074', 'Q76NN6', 'Q8II42', 'Q8I467', 'Q7KQJ9', 'C0H4U4', 'Q8IC01', 'C6S3I6']	True	8	0.019203519459986156	0.3030439659772819
51	Q8II60	PF3D7_1130400	26S protease regulatory subunit 6A, putative	['Q8I3R0', 'Q8IJW0']	True	2	2.979343125324537e-05	0.310781258725638
52	Q8II42	PF3D7_1132300	nucleic acid binding protein, putative	['Q8I3A1', 'C6S3I6']	True	2	0.0	0.2337823169030888
53	Q8IIA2	PF3D7_1126200	40S ribosomal protein S18, putative	['Q8IEQ1', 'Q8IDR9', 'O97249', 'Q8I4U5', 'Q8I323', 'Q6ZMA7', 'C6KT25', 'Q8IBY4', 'Q9TY99', 'A0A5K1K8V8', 'K7NTP5', 'Q8IM10', 'Q8I3R0', 'Q8I431', 'C6KT23', 'Q8IDB0', 'Q8I487', 'C0H5C2', 'Q8IAX5', 'Q8IEK3', 'Q8IB24', 'Q8ILK3', 'Q8IE10', 'Q8IKM5', 'Q8IAX8', 'Q8IKX4', 'Q8IIU8', 'Q8I566', 'O77381', 'Q8IL94', 'Q8IJC6', 'Q8IIB4', 'Q8IKW5', 'Q8IJV6', 'O97313', 'Q8IL02', 'Q8I0P6', 'Q8ILL3', 'Q8ILI2', 'Q8IC05', 'Q8IAX6', 'Q8IJ76', 'Q8I2F2', 'Q8IDK7', 'Q8IK15', 'C0H4A6']	True	46	0.015353306581131855	0.393499977373518
54	Q8I566	PF3D7_1235600	serine hydroxymethyltransferase	['C6KSV3', 'C6KT25', 'O77323', 'Q8I2X4', 'C6KTA3', 'Q8IKW5', 'Q76NM3', 'Q8ILL3', 'Q8IIA2', 'Q7KQL5', 'Q7KQL9', 'Q8IM10', 'Q8IJN9', 'Q8ILA4']	True	14	0.005228390181226989	0.36700299397248715
55	Q8IBZ4	PF3D7_0709500	nucleic acid-binding protein, putative	['Q8I3A4']	True	1	0.0	0.2064262176385668
56	Q8IIG6	PF3D7_1120100	phosphoglycerate mutase, putative	['Q76NN6', 'C0H4V6', 'Q7KQM0', 'Q8IKT2', 'Q7KQL9', 'Q8ID43', 'Q8ILQ7']	True	7	0.0017265745817373588	0.29143493934766534
57	O77312	PF3D7_0302900	exportin-1, putative	['Q8I3M5', 'Q8II36', 'C6KTB3']	True	3	0.0011205842521597072	0.24926141911441957
58	Q8IBS3	PF3D7_0717700	serine--tRNA ligase, putative	['Q8IIA4', 'Q8ILP6', 'Q8IJN9', 'Q8I246']	True	4	0.005556574721361144	0.28730761526563703
59	C0H4H6	PF3D7_0622600	cytochrome b-c1 complex subunit 9, putative	['Q7KQL5']	True	1	0.0	0.2798222061322794
60	O96153	PF3D7_0205900	26S proteasome regulatory subunit RPN1, putative	['Q7K6A9', 'Q8IK90', 'Q8IDG3', 'C6KT34', 'Q8IM66', 'Q8IKC9', 'Q8II61', 'A0A5K1K7U1', 'Q8I6T3', 'C6KST3', 'Q8IDG2', 'Q8I261', 'C6KTB3', 'Q8ID43', 'Q8IBI3', 'Q8I5L6', 'Q8I0U7', 'O77396']	True	18	0.006481301395440696	0.32088574604800063
61	Q8I3X7	PF3D7_0513000	conserved protein, unknown function	['Q8IKS0']	True	1	0.0	0.23666103629463686
62	Q8IDR9	PF3D7_1342000	40S ribosomal protein S6	['Q8ILI2', 'Q8IIA2', 'Q8IK15', 'Q8IIV2', 'A0A144A3N9', 'O77381', 'B9ZSJ2', 'Q8I431', 'Q8IJC6', 'Q8IM10', 'O97313', 'Q8IET7', 'Q8I0P6', 'Q8IJN7', 'C0H5H0', 'Q8ILL2', 'Q8IAX6', 'O97285', 'Q8I320', 'Q8IDK7', 'C6KTA4', 'C0H4A6', 'A0A5K1K9E5', 'Q8IAX8', 'C6KT18', 'Q8IBV7', 'Q8IIK8', 'Q8IKM5', 'C6KT19', 'Q8II61', 'Q8IIU8', 'Q8IKH8', 'Q8I323', 'Q8IJA9', 'Q8IE10', 'A0A5K1K8V8', 'K7NTP5', 'Q8I0V2', 'Q8I3T8', 'O00806', 'Q8I3R0', 'Q8IIB4', 'Q8IEK3', 'Q8IKW5', 'Q8IK83', 'Q8IJX8', 'Q8IIM8', 'C0H5C2', 'Q8IJV6', 'Q8IAX5', 'Q8IL02', 'Q8ILL3', 'Q8IB24']	True	53	0.022998764902471276	0.4159088599118732
63	Q8I3T8	PF3D7_0517000	60S ribosomal protein L12, putative	['Q8IAX8', 'Q8IL02', 'Q8ILL3', 'Q8ILL2', 'Q8IAX5', 'Q8IKM5', 'Q8IK15', 'Q8IDB0', 'Q8II61', 'Q8IBY4', 'A0A5K1K8V8', 'K7NTP5', 'Q8IE10', 'Q8I0V2', 'Q8I431', 'Q8IIB4', 'C0H5C2', 'Q8IJX8', 'Q8IM10', 'Q8IIM8', 'Q8IET7', 'Q8IKR1', 'A0A143ZX41', 'Q8IFP2', 'O77381', 'Q8IDR9', 'Q8IIU8', 'Q8IKH8', 'O00806', 'O97313', 'Q8I0P6', 'Q8IAX6', 'Q8I1V1']	True	33	0.003961736359562821	0.36960321761399256
64	Q8I3R0	PF3D7_0520000	40S ribosomal protein S9, putative	['Q8IEK3', 'Q8IAX6', 'O00806', 'Q8IJX8', 'Q8IJV6', 'C0H5C2', 'Q8IL02', 'Q8ID28', 'Q8ILL3', 'Q8IAX5', 'Q8IIA2', 'Q8IK15', 'Q8II60', 'Q8IBY4', 'O77381', 'K7NTP5', 'Q8IJC6', 'Q8IM10', 'O97313', 'Q8IDK7', 'Q8IAX8', 'Q8I0P6', 'Q8IB24', 'Q8ID43', 'Q8IL58', 'Q8ILK3', 'C0H4A6', 'Q8IKM5', 'Q8IDB0', 'Q8IDR9', 'Q8IIU8', 'Q8IKH8', 'Q8IE10', 'Q8I492', 'Q8I323', 'Q6ZMA7', 'A0A5K1K8V8', 'Q8I0V2', 'Q8IDS0']	True	39	0.010137538019270895	0.3880637396414715
65	Q7K6A5	PF3D7_0523000	multidrug resistance protein 1	['Q76NM4', 'Q8I1V1', 'Q8IEQ1']	True	3	0.0005046970729071244	0.2789671344557866
66	C0H4L1	PF3D7_0706000	importin-7, putative	['Q8IIV2', 'C6KT19']	True	2	0.0	0.28551053870416315
67	Q8IIU8	PF3D7_1105400	40S ribosomal protein S4, putative	['Q8IB24', 'Q8IKM5', 'Q8I463', 'Q8II61', 'Q8IE10', 'C6KTA4', 'Q8IJC6', 'Q8IKW5', 'O77381', 'Q8IL02', 'Q8ILL3', 'O97313', 'Q8I0P6', 'Q8IK15', 'Q8IDJ8', 'Q8IIA2', 'Q8IAX6', 'Q8I2F2', 'Q8IDK7', 'C0H4A6', 'Q9TY99', 'Q8IDR9', 'Q8IM10', 'Q8IBY4', 'A0A5K1K8V8', 'K7NTP5', 'Q8IFP2', 'Q8I3T8', 'O00806', 'Q8I3R0', 'C6KT23', 'Q8IDB0', 'C0H5C2', 'Q8IAX5', 'Q8IEK3', 'Q8ILK3']	True	36	0.004652614020067188	0.38237484712316716
68	Q8IIR7	PF3D7_1108600	endoplasmic reticulum-resident calcium binding protein	['Q76NN6', 'Q8I2W3', 'Q8ILI6']	True	3	0.0	0.26635155288302315
69	Q8IAY9	PF3D7_0815200	importin subunit beta, putative	['Q8I3M5']	True	1	0.0	0.2357443376388797
70	Q8IKP1	PF3D7_1459000	ATP-dependent RNA helicase DBP5	['Q8I323', 'Q8IAX5', 'Q8IC05', 'O97285', 'Q8IE10', 'Q8IAR6', 'O77381', 'Q8IKF0', 'Q8I2X4', 'C0H5H0', 'Q8ILB6', 'Q8IK89', 'Q8I5B3']	True	13	0.01068515611732426	0.36922950354158207
71	Q8IJN8	PF3D7_1015800	ribonucleoside-diphosphate reductase small chain, putative	['Q8IM38']	True	1	0.0	0.0026246719160104987
72	Q8I484	PF3D7_0501600	rhoptry-associated protein 2	['Q8IJM9', 'A0A5K1K9E5', 'C6KSV8', 'Q8I5J2']	True	4	0.00013639453094094472	0.24640214507599503
73	Q8IDG3	PF3D7_1353800	proteasome subunit alpha type-4, putative	['C0H4C7', 'Q8I5C4', 'Q8I6T3', 'A0A5K1K7U1', 'C0H5I7', 'O96153', 'O96220', 'Q8IKC9', 'Q8IJM0', 'Q8IJA0', 'Q8II43', 'Q8IDG2', 'O97282', 'Q8IAR3', 'C6KST3', 'Q8I261', 'Q8IK90', 'C6KST5', 'Q8II71', 'A0A5K1K9F3', 'Q8I323', 'Q8IJT1', 'Q8I0U7', 'O77323', 'O77396', 'Q7K6A9', 'Q8I2X4', 'C0H5H0', 'Q8IBI3', 'Q8IJW0', 'C6KT34']	True	31	0.0031019847474368974	0.35044911612535956
74	Q8IM03	PF3D7_1409300	DNA damage-inducible protein 1	['Q8II71']	True	1	0.0	0.24892159441215045
75	O97313	PF3D7_0322900	40S ribosomal protein S3A, putative	['C6KT18', 'Q8IEK3', 'Q8IJX8', 'Q8IM10', 'Q8IIM8', 'Q8IET7', 'Q8IDK7', 'Q8IB24', 'Q8ILI2', 'O00806', 'Q8I2H3', 'Q8IJX3', 'C0H5C2', 'Q8I0V2', 'Q8IIV2', 'Q8IDR9', 'Q8IEQ1', 'Q8IIU8', 'Q8I0P6', 'Q8I492', 'Q8IJC6', 'Q8I320', 'Q8IIB4', 'Q8IKW5', 'C6KT19', 'Q8IAX6', 'Q8I3R0', 'Q8IAX8', 'A0A144A3N9', 'O77381', 'Q8IJN7', 'Q8IL02', 'A0A5K1K8V8', 'K7NTP5', 'Q8ILL3', 'Q8ILL2', 'Q8IE84', 'Q8IKV8', 'Q8IAX5', 'Q8IKR1', 'Q8IIA2', 'Q8IKM5', 'Q8IK15', 'Q6ZMA8', 'Q8II61', 'Q8IJ34', 'Q8IIV1', 'Q8IE10', 'Q8I3T8', 'Q8IBV7', 'C0H4A6']	True	51	0.016425950014879606	0.3986549989111623
76	Q8IIW2	PF3D7_1104000	phenylalanine--tRNA ligase beta subunit	['Q8IDZ9']	True	1	0.0	0.20152758223102907
77	Q76NM4	PF3D7_1320600	ras-related protein Rab-11A	['Q7K6A5', 'Q8I492', 'C0H516', 'A0A5K1K8H7', 'Q8IC05', 'Q8I6U6', 'Q8IHR8']	True	7	0.013400754527390831	0.28573394288155296
78	Q8I1S0	PF3D7_0416800	small GTP-binding protein sar1	['Q8I5B3', 'O96221', 'A0A143ZY58', 'Q8IB60']	True	4	0.00010383319562784984	0.26046218188489634
79	Q7KQJ9	PF3D7_1226600	proliferating cell nuclear antigen 2	['P61074', 'Q8I3A1']	True	2	0.0	0.23273931102780412
80	Q8IKK7	PF3D7_1462800	glyceraldehyde-3-phosphate dehydrogenase	['Q8ILL3', 'Q8ILL2', 'Q8IBY4', 'Q8IEA6', 'Q8IE66', 'O97245', 'Q8I463', 'Q8ID43', 'Q8IIX0', 'Q8IJ34', 'Q8IEK3', 'A0A144A1R5', 'Q8I0V4']	True	13	0.006220480329644871	0.3494430421077748
